"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"20","ENSG00000158104","HPD","12",121839527,121863596,"4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]",6.38490492477831,-3.81460897887022,0.652782862784631,-5.84361078751045,5.10812988388826e-09,1.33215383617366e-05
"32","ENSG00000198650","TAT","16",71565660,71577092,"tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]",16.3712133207455,-3.75261605456804,0.886638064641222,-4.23241027452001,2.31200159770252e-05,0.0207263718229038
"34","ENSG00000239527","RPS23P7","17",62397397,62398142,"ribosomal protein S23 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43899]",3.90897337428304,-2.75261701856345,0.701045944400848,-3.92644311053819,8.62112709141483e-05,0.065082703387215
"31","ENSG00000197582","GPX1P1","X",13378735,13379340,"glutathione peroxidase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4560]",9.41191124926858,-2.68990196153436,0.571707132288087,-4.70503481523631,2.53822635115746e-06,0.00346733806360257
"33","ENSG00000203685","STUM","1",226548764,226609230,"stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]",198.883922658356,-2.43419940984864,0.537693002148829,-4.52711751895717,5.97936913029734e-06,0.00659731393233999
"30","ENSG00000189334","S100A14","1",153614255,153616986,"S100 calcium binding protein A14 [Source:HGNC Symbol;Acc:HGNC:18901]",7.8310031658359,-2.33340748529248,0.568488098545505,-4.1045845836748,4.05042057744485e-05,0.0331984043157601
"8","ENSG00000124713","GNMT","6",42960754,42963880,"glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]",5.98104847530998,-2.22065689228266,0.524239388506401,-4.23595964166197,2.27577653618792e-05,0.0207263718229038
"9","ENSG00000130649","CYP2E1","10",133520406,133561220,"cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]",27.0571678630146,-2.08001446616057,0.484691116480632,-4.29142271321923,1.77531993640894e-05,0.0169762010052545
"5","ENSG00000102794","ACOD1","13",76948497,76958642,"aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]",7556.0053759574,-1.6800063585428,0.410543749117147,-4.09214940467507,4.27393129152632e-05,0.0340572963777821
"3","ENSG00000089127","OAS1","12",112906783,112933222,"2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]",1775.892357725,-1.5098419253924,0.359612301838001,-4.19852690710384,2.68656935148935e-05,0.0233544287836894
"22","ENSG00000163739","CXCL1","4",73869393,73871242,"C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]",46480.1263864664,-1.50448598557979,0.324830524304431,-4.63160286060366,3.62845652664638e-06,0.00462077850463826
"24","ENSG00000166510","CCDC68","18",54901509,54959461,"coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]",436.087176363434,-1.49719978492443,0.229613435700733,-6.5205234195259,7.00624665205859e-11,3.34980329512675e-07
"13","ENSG00000137959","IFI44L","1",78619922,78646145,"interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]",2101.88797841411,-1.48826151577898,0.245455872653962,-6.06325487219897,1.33394023618679e-09,3.82667435554903e-06
"27","ENSG00000169429","CXCL8","4",73740541,73743716,"C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]",201927.013485062,-1.44972950307124,0.180806095414072,-8.01814507277068,1.07353971476873e-15,1.02655445991902e-11
"14","ENSG00000138755","CXCL9","4",76001275,76007488,"C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]",213817.347058643,-1.38281294401787,0.167148449307739,-8.27296304419766,1.30670211059138e-16,1.87426817232675e-12
"25","ENSG00000169245","CXCL10","4",76021118,76023497,"C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]",125757.467119881,-1.32436317740158,0.20848766047696,-6.35223770256626,2.12205069723117e-10,7.60940854393382e-07
"26","ENSG00000169248","CXCL11","4",76033682,76041415,"C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]",56286.1897291047,-1.29214880689461,0.236752453043245,-5.45780535865702,4.82055666913186e-08,0.000106374853205681
"4","ENSG00000090339","ICAM1","19",10271093,10286615,"intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]",69206.5819532078,-1.1508266470257,0.251876575014022,-4.56901022638422,4.90032875059487e-06,0.00585732211951313
"19","ENSG00000154451","GBP5","1",89258950,89272804,"guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]",24733.7418180283,-1.07536283901331,0.232395606787101,-4.6272941811609,3.7047410188127e-06,0.00462077850463826
